,actions_id,actions_tx_hash,actions_timestamp,actions_action_type,actions_amount,actions_transfer_amount,actions_transfer_sender_id,actions_transfer_sender_holdings,actions_transfer_receiver_id,actions_transfer_receiver_holdings
223,OTHER-b7c1e9bc588496074a0ce2718d289f018dc495ccfe777f56999d1589e4d3ecfa,b7c1e9bc588496074a0ce2718d289f018dc495ccfe777f56999d1589e4d3ecfa,1615245377,OTHER,,,0x,0.0,0x,0.0
224,UNWRAP-93ff4b667a85a5928d153e617e41543d77bbc3d87f069ef660f18a3a15ceff2a,93ff4b667a85a5928d153e617e41543d77bbc3d87f069ef660f18a3a15ceff2a,1615244336,UNWRAP,49637000000000000,49637000000000000,0x9c5dde694ef0b1c17a7ef6ae2e58b7ed8b1bd56f,355829311575.0,0x0000000000000000000000000000000000000000,-7.388155125109074e+21
225,OTHER-71bce7e1710fd8b8400de80c1433a93cd173e1872141dffa46d43b7f94b8a3b2,71bce7e1710fd8b8400de80c1433a93cd173e1872141dffa46d43b7f94b8a3b2,1615244336,OTHER,,,0x,0.0,0x,0.0
226,WRAP-cc7596c7e02bc41c374d411e49e9a75e52e5857c98fe25e7b1c51c306e272e2c,cc7596c7e02bc41c374d411e49e9a75e52e5857c98fe25e7b1c51c306e272e2c,1615244283,WRAP,15883953865379704083,15883953865379704083,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0x5993bad196c8786baaedb5a5868f338fe6ce4cc2,0.0
227,WRAP-bb456a03321e1ea0ddafb2872e8f8a894d3dc9f1d9046f5cba681cab9cc4b7c5,bb456a03321e1ea0ddafb2872e8f8a894d3dc9f1d9046f5cba681cab9cc4b7c5,1615244195,WRAP,6993506337503366461,6993506337503366461,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,6.993506337503366e+18
228,OTHER-815e1937d920c3990be91765f249b1801cbae09276665bf1cb98cfb7cacb8f09,815e1937d920c3990be91765f249b1801cbae09276665bf1cb98cfb7cacb8f09,1615243525,OTHER,,,0x,0.0,0x,0.0
229,WRAP-6ebbb9d353b6eca1044c353ebc5f798c69c4ea62194044f715a942f629c8eee0,6ebbb9d353b6eca1044c353ebc5f798c69c4ea62194044f715a942f629c8eee0,1615243312,WRAP,49637355829311575262,49637355829311575262,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0x58f41b41ab4884520769c382d45188f9d5c31b27,0.0
230,OTHER-dbba6a822aabd5050c13191623df03ec2b41254bfdd42e93790fdad8226cc275,dbba6a822aabd5050c13191623df03ec2b41254bfdd42e93790fdad8226cc275,1615243294,OTHER,,,0x,0.0,0x,0.0
231,OTHER-466f1da27b0d13092038d9f50452c6eb4cb174c0b88bae99269b886d2f53a81b,466f1da27b0d13092038d9f50452c6eb4cb174c0b88bae99269b886d2f53a81b,1615243126,OTHER,,,0x,0.0,0x,0.0
232,WRAP-addc35de86240cee8e5a8783f503decbd547e73b1514a440ce5f80f010474cb5,addc35de86240cee8e5a8783f503decbd547e73b1514a440ce5f80f010474cb5,1615243040,WRAP,153077038740860601443,153077038740860601443,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0xadeeb9d09b8bcee10943198fb6f6a4229bab3675,7038740860601443.0
233,OTHER-202d127b07d99fc245e102026d77edcc533b1a86861d4ed90c80dff3da109631,202d127b07d99fc245e102026d77edcc533b1a86861d4ed90c80dff3da109631,1615242713,OTHER,,,0x,0.0,0x,0.0
234,WRAP-f46e19d5f3ae0cb0c23bf25f4aa2485485a12663b46e616f64bcc718898a133c,f46e19d5f3ae0cb0c23bf25f4aa2485485a12663b46e616f64bcc718898a133c,1615242643,WRAP,98281964542036919018,98281964542036919018,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0x3d18ef2eff0644bb0e6045f6906da0eb34c3200f,1964542036919018.0
235,OTHER-2ef499c3779fbe8dc49072ee7f5f63c10a6ffc2ce420eafd7fdf778b708be9ac,2ef499c3779fbe8dc49072ee7f5f63c10a6ffc2ce420eafd7fdf778b708be9ac,1615242289,OTHER,,,0x,0.0,0x,0.0
236,WRAP-8a8814b7844c55812ff590741e6524a5ec9404a63c5588ca03ffe874413b6796,8a8814b7844c55812ff590741e6524a5ec9404a63c5588ca03ffe874413b6796,1615242173,WRAP,5956482699517389031,5956482699517389031,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0xcf07aeda16eba7c76f91a589e2c5265b1bf379a8,0.0
237,WRAP-a96fe100cac5ca17403ae3d35aa1cd182aa309af1ed44f5290f47c9dd3d46e5d,a96fe100cac5ca17403ae3d35aa1cd182aa309af1ed44f5290f47c9dd3d46e5d,1615242094,WRAP,99274711658623150,99274711658623150,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0x9c767178528c8a205df63305ebda4bb6b147889b,0.0
238,OTHER-158bd2372772243a0d66b13ab7991937899e88263174eafeedf5922e32c5c2c3,158bd2372772243a0d66b13ab7991937899e88263174eafeedf5922e32c5c2c3,1615241950,OTHER,,,0x,0.0,0x,0.0
239,WRAP-0bf0d96a9e54370a9a4a6a506133db48f9d79763672350059ab4794dd439821f,0bf0d96a9e54370a9a4a6a506133db48f9d79763672350059ab4794dd439821f,1615241829,WRAP,6552130969469127934,6552130969469127934,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0x5bfa69517e17411beda54ea2d3672709f4867254,0.0
240,WRAP-66fc23c59c7810e9a2e96eefcd6788e02b4db5c8a4eb136b2ebf3f0c4c2973e3,66fc23c59c7810e9a2e96eefcd6788e02b4db5c8a4eb136b2ebf3f0c4c2973e3,1615241628,WRAP,30576611190855930361,30576611190855930361,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0x608b10b5cb5154132564e1d415b116def66a3960,154787801539.0
241,UNWRAP-2c68d29decf30c156d523e8c87758645c35f9bb0159fb33e09a344086b3e4cba,2c68d29decf30c156d523e8c87758645c35f9bb0159fb33e09a344086b3e4cba,1615241260,UNWRAP,100863107000000000000,100863107000000000000,0x5ade40e345817b739b91c6b4615efce87f9d7c57,45161120932.0,0x0000000000000000000000000000000000000000,-7.388155125109074e+21
242,UNWRAP-9c2e7369e6af7b6d920d459bd8ccbafaf0496ec14d49bfba507edea80222f6fa,9c2e7369e6af7b6d920d459bd8ccbafaf0496ec14d49bfba507edea80222f6fa,1615241144,UNWRAP,198549000000000000,198549000000000000,0x2beba030cdc9c4a47c5aa657974840428b9fefac,423317246301.0,0x0000000000000000000000000000000000000000,-7.388155125109074e+21
243,SEND-e97da7b22662a5adaa36c412c3cff89f673592d3db16e3b65aabb09a176769fa,e97da7b22662a5adaa36c412c3cff89f673592d3db16e3b65aabb09a176769fa,1615241032,SEND,100860000000000000000,100860000000000000000,0xcd91538b91b4ba7797d39a2f66e63810b50a33d0,7.174420301602505e+21,0x5ade40e345817b739b91c6b4615efce87f9d7c57,45161120932.0
244,OTHER-a633d98ef5f8b20e9267ae4bab225573768697700fa424d6dd1bbd0570540d60,a633d98ef5f8b20e9267ae4bab225573768697700fa424d6dd1bbd0570540d60,1615240627,OTHER,,,0x,0.0,0x,0.0
